Season,Name,Team,wRCplus,TTO,playerid,new_TTO
2021,Juan Soto,WSN,163,40.8%,20123,4079.9999999999995
2022,Juan Soto,- - -,145,38.9%,20123,3890
2022,Jurickson Profar,SDP,110,29.0%,10815,2900
2021,Jurickson Profar,SDP,86,28.6%,10815,2860
2021,Justin Turner,LAD,126,30.4%,5235,3040
2022,Justin Turner,LAD,123,28.6%,5235,2860
2021,Ke'Bryan Hayes,PIT,87,31.3%,18577,3130
2022,Ke'Bryan Hayes,PIT,88,31.6%,18577,3160
2021,Ketel Marte,ARI,140,28.1%,13613,2810
2022,Ketel Marte,ARI,102,30.1%,13613,3010
2022,Kevin Newman,PIT,94,21.4%,17696,2140
2021,Kevin Newman,PIT,53,13.2%,17696,1320
2021,Kolten Wong,MIL,110,26.0%,12532,2600
2022,Kolten Wong,MIL,117,30.0%,12532,3000
2021,Kyle Farmer,CIN,90,25.5%,14813,2550
2022,Kyle Farmer,CIN,92,25.0%,14813,2500
2021,Kyle Schwarber,- - -,145,47.3%,16478,4730
2022,Kyle Schwarber,PHI,128,49.6%,16478,4960
2021,Kyle Tucker,HOU,145,30.5%,18345,3050
2022,Kyle Tucker,HOU,129,30.2%,18345,3020
2021,Leury Garcia,CHW,97,30.2%,5913,3020
2022,Leury Garcia,CHW,39,23.8%,5913,2380
2021,Lourdes Gurriel Jr.,TOR,107,28.7%,19238,2870
2022,Lourdes Gurriel Jr.,TOR,114,24.1%,19238,2410
2022,Luis Arraez,MIN,131,16.7%,18568,1670
2021,Luis Arraez,MIN,105,19.4%,18568,1939.9999999999998
2021,Luis Urias,MIL,112,35.4%,16622,3540
2022,Luis Urias,MIL,110,35.0%,16622,3500
2021,Maikel Franco,BAL,62,24.3%,12179,2430
2022,Maikel Franco,WSN,64,24.7%,12179,2470
2022,Manny Machado,SDP,152,35.4%,11493,3540
2021,Manny Machado,SDP,122,30.2%,11493,3020
2022,Manuel Margot,TBR,106,26.4%,14712,2640
2021,Manuel Margot,TBR,95,25.2%,14712,2520
2021,Marcus Semien,TOR,131,35.5%,12533,3550
2022,Marcus Semien,TEX,107,27.5%,12533,2750
2022,Mark Canha,NYM,128,29.2%,11445,2920
2021,Mark Canha,OAK,117,35.5%,11445,3550
2022,Martin Maldonado,HOU,70,40.4%,6887,4040
2021,Martin Maldonado,HOU,61,43.7%,6887,4370
2022,Matt Chapman,TOR,117,42.7%,16505,4270
2021,Matt Chapman,OAK,102,49.7%,16505,4970
2021,Matt Olson,OAK,147,35.7%,14344,3570.0000000000005
2022,Matt Olson,ATL,120,39.9%,14344,3990
2021,Max Kepler,MIN,97,34.5%,12144,3450
2022,Max Kepler,MIN,95,27.8%,12144,2780
2021,Max Muncy,LAD,139,40.4%,13301,4040
2022,Max Muncy,LAD,106,44.6%,13301,4460
2021,Max Stassi,LAA,105,44.5%,10059,4450
2022,Max Stassi,LAA,63,42.4%,10059,4240
2022,Michael A. Taylor,KCR,90,33.6%,11489,3360
2021,Michael A. Taylor,KCR,76,35.8%,11489,3579.9999999999995
2021,Miguel Cabrera,DET,94,32.9%,1744,3290
2022,Miguel Cabrera,DET,79,30.9%,1744,3090
2021,Miguel Rojas,MIA,96,22.3%,7802,2230
2022,Miguel Rojas,MIA,73,18.3%,7802,1830
2021,Mike Yastrzemski,SFG,105,38.9%,14854,3890
2022,Mike Yastrzemski,SFG,99,39.2%,14854,3920.0000000000005
2022,Mookie Betts,LAD,144,30.4%,13611,3040
2021,Mookie Betts,LAD,130,32.2%,13611,3220.0000000000005
2021,Myles Straw,- - -,97,30.1%,17620,3010
2022,Myles Straw,CLE,64,23.7%,17620,2370
2022,Nathaniel Lowe,TEX,143,34.4%,19566,3440
2021,Nathaniel Lowe,TEX,114,40.5%,19566,4050
2021,Nelson Cruz,- - -,123,35.8%,2434,3579.9999999999995
2022,Nelson Cruz,WSN,85,35.1%,2434,3510
2021,Nick Castellanos,CIN,139,33.5%,11737,3350
2022,Nick Castellanos,PHI,94,30.8%,11737,3080
2021,Nicky Lopez,KCR,105,22.1%,19339,2210
2022,Nicky Lopez,KCR,57,19.2%,19339,1920
2022,Nolan Arenado,STL,151,24.8%,9777,2480
2021,Nolan Arenado,STL,113,27.6%,9777,2760
2021,Patrick Wisdom,CHC,117,56.8%,13602,5680
2022,Patrick Wisdom,CHC,104,48.9%,13602,4890
2022,Paul Goldschmidt,STL,177,39.2%,9218,3920.0000000000005
2021,Paul Goldschmidt,STL,137,34.5%,9218,3450
2022,Pete Alonso,NYM,143,34.3%,19251,3429.9999999999995
2021,Pete Alonso,NYM,133,35.2%,19251,3520.0000000000005
2021,Rafael Devers,BOS,133,36.6%,17350,3660
2022,Rafael Devers,BOS,140,31.1%,17350,3110
2021,Rafael Ortega,CHC,122,33.6%,10323,3360
2022,Rafael Ortega,CHC,96,33.7%,10323,3370.0000000000005
2021,Raimel Tapia,COL,75,21.8%,14350,2180
2022,Raimel Tapia,TOR,90,24.0%,14350,2400
2021,Ramon Laureano,OAK,113,36.8%,17128,3679.9999999999995
2022,Ramon Laureano,OAK,96,37.1%,17128,3710
2022,Randal Grichuk,COL,88,31.6%,10243,3160
2021,Randal Grichuk,TOR,85,29.9%,10243,2990
2021,Randy Arozarena,TBR,128,40.7%,19290,4070.0000000000005
2022,Randy Arozarena,TBR,125,34.4%,19290,3440
2021,Rhys Hoskins,PHI,127,41.1%,16472,4110
2022,Rhys Hoskins,PHI,122,40.3%,16472,4029.9999999999995
2021,Robbie Grossman,DET,116,41.1%,5254,4110
2022,Robbie Grossman,- - -,82,40.3%,5254,4029.9999999999995
2021,Ronald Acuna Jr.,ATL,157,43.9%,18401,4390
2022,Ronald Acuna Jr.,ATL,114,36.4%,18401,3640
2021,Rougned Odor,NYY,83,39.3%,12282,3929.9999999999995
2022,Rougned Odor,BAL,80,32.6%,12282,3260
2022,Rowdy Tellez,MIL,110,36.4%,15679,3640
2021,Rowdy Tellez,- - -,89,30.5%,15679,3050
2021,Ryan McMahon,COL,94,38.4%,15112,3840
2022,Ryan McMahon,COL,95,39.9%,15112,3990
2021,Ryan Mountcastle,BAL,111,40.1%,18373,4010
2022,Ryan Mountcastle,BAL,106,36.0%,18373,3600
2021,Salvador Perez,KCR,126,37.0%,7304,3700
2022,Salvador Perez,KCR,108,31.7%,7304,3170
2022,Sean Murphy,OAK,122,32.4%,19352,3240
2021,Sean Murphy,OAK,100,38.2%,19352,3820.0000000000005
2022,Seth Brown,OAK,117,40.0%,18171,4000
2021,Seth Brown,OAK,104,43.0%,18171,4300
2021,Shohei Ohtani,LAA,151,51.8%,19755,5180
2022,Shohei Ohtani,LAA,142,40.1%,19755,4010
2021,Starling Marte,- - -,134,29.3%,9241,2930
2022,Starling Marte,NYM,136,27.5%,9241,2750
2021,Teoscar Hernandez,TOR,132,36.3%,13066,3629.9999999999995
2022,Teoscar Hernandez,TOR,129,39.4%,13066,3940
2021,Tim Anderson,CHW,119,28.7%,15172,2870
2022,Tim Anderson,CHW,110,21.4%,15172,2140
2022,Tommy Edman,STL,108,27.0%,19470,2700
2021,Tommy Edman,STL,90,20.8%,19470,2080
2021,Tommy Pham,SDP,102,39.4%,2967,3940
2022,Tommy Pham,- - -,89,38.6%,2967,3860
2021,Tony Kemp,OAK,129,28.0%,14894,2800
2022,Tony Kemp,OAK,91,21.7%,14894,2170
2021,Trea Turner,- - -,142,27.7%,16252,2770
2022,Trea Turner,LAD,128,27.8%,16252,2780
2021,Trent Grisham,SDP,103,35.7%,18564,3570.0000000000005
2022,Trent Grisham,SDP,83,42.7%,18564,4270
2021,Trevor Story,COL,98,36.3%,12564,3629.9999999999995
2022,Trevor Story,BOS,100,42.9%,12564,4290
2021,Trey Mancini,BAL,105,34.9%,15149,3490
2022,Trey Mancini,- - -,104,35.1%,15149,3510
2021,Tucker Barnhart,CIN,80,35.1%,10200,3510
2022,Tucker Barnhart,DET,63,32.5%,10200,3250
2021,Ty France,SEA,130,26.2%,17982,2620
2022,Ty France,SEA,126,24.3%,17982,2430
2021,Tyler Naquin,CIN,109,35.2%,13359,3520.0000000000005
2022,Tyler Naquin,- - -,93,36.8%,13359,3679.9999999999995
2021,Tyler O'Neill,STL,144,44.7%,15711,4470
2022,Tyler O'Neill,STL,101,40.5%,15711,4050
2022,Victor Caratini,MIL,84,34.1%,14968,3410
2021,Victor Caratini,SDP,73,34.8%,14968,3479.9999999999995
2021,Victor Robles,WSN,68,32.5%,18363,3250
2022,Victor Robles,WSN,64,31.2%,18363,3120
2021,Vladimir Guerrero Jr.,TOR,166,35.0%,19611,3500
2022,Vladimir Guerrero Jr.,TOR,132,29.2%,19611,2920
2021,Wander Franco,TBR,126,22.1%,23667,2210
2022,Wander Franco,TBR,116,18.9%,23667,1889.9999999999998
2021,Whit Merrifield,KCR,90,21.3%,11281,2130
2022,Whit Merrifield,- - -,88,24.4%,11281,2440
